"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Atp1a2.1"	0	-0.730867822702003	0.264	0.714	0	"1"	"Atp1a2"
"Nexn.1"	0	-0.815048911050751	0.278	0.674	0	"1"	"Nexn"
"Ppp1r27.1"	1.52882800202686e-284	-0.552617422081305	0.099	0.538	3.05765600405371e-281	"1"	"Ppp1r27"
"Mgp.1"	2.24459505636638e-266	-2.18610386525296	0.336	0.708	4.48919011273275e-263	"1"	"Mgp"
"Mylk4.1"	3.72844167264284e-246	-0.75866786193942	0.281	0.621	7.45688334528567e-243	"1"	"Mylk4"
"Mybpc1.1"	5.34649498859923e-228	-0.669148240932946	0.183	0.549	1.06929899771985e-224	"1"	"Mybpc1"
"Ankrd23.1"	3.93895419164003e-227	-1.29871654177475	0.32	0.654	7.87790838328005e-224	"1"	"Ankrd23"
"Nrap.1"	6.55293730378659e-218	-0.532317479958275	0.165	0.541	1.31058746075732e-214	"1"	"Nrap"
"Cystm1.1"	2.69969010349555e-216	-0.843438887013364	0.231	0.639	5.3993802069911e-213	"1"	"Cystm1"
"Coro1a.1"	5.84289146906101e-211	-0.569382130480697	0.079	0.45	1.1685782938122e-207	"1"	"Coro1a"
"Neb.1"	3.76168931753492e-202	-1.22743182510094	0.282	0.646	7.52337863506983e-199	"1"	"Neb"
"Ttn.1"	1.01357859740798e-198	-1.02240175824061	0.326	0.637	2.02715719481596e-195	"1"	"Ttn"
"Pdlim3.1"	8.76086955436768e-197	-0.799698073205606	0.174	0.534	1.75217391087354e-193	"1"	"Pdlim3"
"Myot.1"	7.85350220637251e-196	-0.84165605614991	0.095	0.508	1.5707004412745e-192	"1"	"Myot"
"Sh3bgr.1"	1.20611641330729e-191	-1.18749337214881	0.275	0.611	2.41223282661458e-188	"1"	"Sh3bgr"
"Hspb7.1"	8.16936584759676e-191	-0.654527243284661	0.101	0.471	1.63387316951935e-187	"1"	"Hspb7"
"Hdc.1"	2.21301207667057e-186	-0.579182901346855	0.049	0.387	4.42602415334113e-183	"1"	"Hdc"
"Tmod4.1"	4.18046865318518e-184	-0.869600316754508	0.203	0.562	8.36093730637036e-181	"1"	"Tmod4"
"Car3.1"	1.59646735420839e-180	-2.00151767007007	0.174	0.562	3.19293470841678e-177	"1"	"Car3"
"Ldb3.1"	2.68799750403926e-180	-0.67448606347565	0.16	0.526	5.37599500807853e-177	"1"	"Ldb3"
"Eef1a2.1"	6.00566221915076e-180	-0.753721249253247	0.194	0.562	1.20113244383015e-176	"1"	"Eef1a2"
"Trim54.1"	2.95343213017244e-174	-0.776655834902607	0.193	0.56	5.90686426034487e-171	"1"	"Trim54"
"Crispld2.1"	1.10713120746639e-169	-1.09270568207466	0.409	0.726	2.21426241493278e-166	"1"	"Crispld2"
"G0s2.1"	3.39568639087165e-168	-0.846449598565498	0.429	0.743	6.7913727817433e-165	"1"	"G0s2"
"Ptprc.1"	3.57294475960309e-164	-0.65197224551598	0.11	0.406	7.14588951920617e-161	"1"	"Ptprc"
"Fbln7.1"	4.84205031448045e-163	-0.533238773895186	0.184	0.534	9.68410062896091e-160	"1"	"Fbln7"
"Xirp2.1"	2.04326755679224e-159	-0.87461671149966	0.299	0.631	4.08653511358448e-156	"1"	"Xirp2"
"Atp2a1.1"	2.46028896071463e-155	-1.74227886239425	0.192	0.556	4.92057792142926e-152	"1"	"Atp2a1"
